TSTNO,VIN,OCCLOC,PP_TTF_LAP,PP_force_LAP,PP_TTF_SHOULDER,PP_force_SHOULDER,LL_first,LL_second
30,VC2445M7417602,01,0.0,0.0,0.0,0.0,3.28,0.0
30,VC2445M7417602,02,0.0,0.0,0.0,0.0,3.65,0.0
216,SNF2005052,01,0.0,0.0,0.0,0.0,0.0,0.0
216,SNF2005052,02,0.0,0.0,0.0,0.0,0.0,0.0
221,A0C365C188381,01,0.0,0.0,0.0,0.0,0.0,0.0
221,A0C365C188381,02,0.0,0.0,0.0,0.0,0.0,0.0
263,GCFBUA53748,01,0.0,0.0,0.0,0.0,3.95,0.0
263,GCFBUA53748,02,0.0,0.0,0.0,0.0,4.76,0.0
271,0G87F129170,01,0.0,0.0,0.0,0.0,0.0,0.0
271,0G87F129170,02,0.0,0.0,0.0,0.0,0.0,0.0
289,JF24AM31FAG703947,01,0.0,0.0,0.0,0.0,4.34,0.0
289,JF24AM31FAG703947,02,0.0,0.0,0.0,0.0,0.0,0.0
407,None,01,0.0,0.0,0.0,0.0,2.55,0.0
407,None,02,0.0,0.0,0.0,0.0,0.0,0.0
444,1B3BZ18A1CD200224,01,0.0,0.0,0.0,0.0,0.0,0.0
444,1B3BZ18A1CD200224,02,0.0,0.0,0.0,0.0,0.0,0.0
445,WVWCA0539CK009222,01,0.0,0.0,0.0,0.0,0.0,0.0
445,WVWCA0539CK009222,02,0.0,0.0,0.0,0.0,0.0,0.0
446,YS3AGA3S3C1014311,01,0.0,0.0,0.0,0.0,0.0,0.0
446,YS3AGA3S3C1014311,02,0.0,0.0,0.0,0.0,0.0,0.0
448,None,01,0.0,0.0,0.0,0.0,3.92,0.0
448,None,02,0.0,0.0,0.0,0.0,4.03,0.0
450,1G1AP8713CL106127,01,0.0,0.0,0.0,0.0,0.0,0.0
450,1G1AP8713CL106127,02,0.0,0.0,0.0,0.0,0.0,0.0
451,1G1AW19R6CZ111879,01,0.0,0.0,0.0,0.0,0.0,0.0
451,1G1AW19R6CZ111879,02,0.0,0.0,0.0,0.0,0.0,0.0
452,1FABP0623CW146915,01,0.0,0.0,0.0,0.0,0.0,0.0
452,1FABP0623CW146915,02,0.0,0.0,0.0,0.0,0.0,0.0
453,1B3BV51B8CG102585,01,0.0,0.0,0.0,0.0,0.0,0.0
453,1B3BV51B8CG102585,02,0.0,0.0,0.0,0.0,0.0,0.0
454,JT2RA63C4C6014619,01,0.0,0.0,0.0,0.0,0.0,0.0
454,JT2RA63C4C6014619,02,0.0,0.0,0.0,0.0,0.0,0.0
455,JHMSZ5425CC015800,01,0.0,0.0,0.0,0.0,5.5,0.0
455,JHMSZ5425CC015800,02,0.0,0.0,0.0,0.0,0.0,0.0
462,JN1HT13S6CT006081,01,0.0,0.0,0.0,0.0,5.34,0.0
462,JN1HT13S6CT006081,02,0.0,0.0,0.0,0.0,0.0,0.0
463,VF1BD36B4C0010265,01,0.0,0.0,0.0,0.0,0.0,0.0
463,VF1BD36B4C0010265,02,0.0,0.0,0.0,0.0,0.0,0.0
464,JN1HB11S6CU501672,01,0.0,0.0,0.0,0.0,0.0,0.0
464,JN1HB11S6CU501672,02,0.0,0.0,0.0,0.0,0.0,0.0
465,WVWFA0323CE177508,01,0.0,0.0,0.0,0.0,0.0,0.0
465,WVWFA0323CE177508,02,0.0,0.0,0.0,0.0,0.0,0.0
466,2G1AL69K9C1253158,01,0.0,0.0,0.0,0.0,0.0,0.0
466,2G1AL69K9C1253158,02,0.0,0.0,0.0,0.0,0.0,0.0
467,YV1AX4941C1776725,01,0.0,0.0,0.0,0.0,0.0,0.0
467,YV1AX4941C1776725,02,0.0,0.0,0.0,0.0,4.96,0.0
468,2FABP31D8CB209695,01,0.0,0.0,0.0,0.0,4.84,0.0
468,2FABP31D8CB209695,02,0.0,0.0,0.0,0.0,0.0,0.0
470,JM1GB2211C0638983,01,0.0,0.0,0.0,0.0,0.0,0.0
470,JM1GB2211C0638983,02,0.0,0.0,0.0,0.0,0.0,0.0
471,1FABP27B2CG160843,01,0.0,0.0,0.0,0.0,0.0,0.0
471,1FABP27B2CG160843,02,0.0,0.0,0.0,0.0,0.0,0.0
474,1G1AX68R6CT190792,01,0.0,0.0,0.0,0.0,5.91,0.0
474,1G1AX68R6CT190792,02,0.0,0.0,0.0,0.0,0.0,0.0
475,1G1AX68R1CT190795,01,0.0,0.0,0.0,0.0,0.0,0.0
475,1G1AX68R1CT190795,02,0.0,0.0,0.0,0.0,0.0,0.0
477,1G1AX68RXCT190777,01,0.0,0.0,0.0,0.0,0.0,0.0
477,1G1AX68RXCT190777,02,0.0,0.0,0.0,0.0,0.0,0.0
479,1G1AX68R1CT190814,01,0.0,0.0,0.0,0.0,0.0,0.0
479,1G1AX68R1CT190814,02,0.0,0.0,0.0,0.0,0.0,0.0
